Paco | 16565 | 8.61
David | 6510 | 5.78
Biel | 11680 | 11.03
Biel | 12355 | 8.21
No ze | 15 | 7.15
Biel | 6850 | 8.11
Manuel | 10800 | 20.14
Manuel | -5000 | 5.43
Jose | 3800 | 7
Maria | 3770 | 8.99
Paco | 3250 | 22.29
eef | -5020 | 10.42
Xavi | -5000 | 12.16
Xavi | 3800 | 9.34
Xavi | 5610 | 15.9
Xavi | 3190 | 8.49
